"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"21","query_1",TRUE,0.0405901005094925,470,67,8,0.119402985074627,0.0170212765957447,"GO:0006338","excitatory_neurons","chromatin remodeling",27205,2173,"IDA IMP IBA,IMP,ISS ISO IEA,ISO,IBA IEA,NAS IEA,ISS ISO IEA,IEA","Brca1,Chek1,Dpy30,Myb,Nap1l2,Pbrm1,Phf8,Supt5"
"22","query_1",TRUE,0.000575458060342862,179,21,8,0.380952380952381,0.0446927374301676,"HP:0000340","excitatory_neurons","Sloping forehead",4965,272,"HP,HP,HP,HP,HP,HP,HP,HP","Brca1,Cep290,Fktn,Mks1,Phf8,Taf13,Tsen2,Tti2"
"23","query_1",TRUE,0.00173980093262707,31,66,4,0.0606060606060606,0.129032258064516,"GO:0061647","inhibitory_neurons","histone H3-K9 modification",27205,16513,"IMP ISO IEA,IDA,ISO,IDA","Brca1,Chek1,Myb,Nap1l2"
"24","query_1",TRUE,0.0040809968269837,11,66,3,0.0454545454545455,0.272727272727273,"GO:2000615","inhibitory_neurons","regulation of histone H3-K9 acetylation",27205,27177,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"25","query_1",TRUE,0.00543188405339393,12,66,3,0.0454545454545455,0.25,"GO:0043970","inhibitory_neurons","histone H3-K9 acetylation",27205,11492,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"26","query_1",TRUE,0.00234544494301729,618,106,13,0.122641509433962,0.0210355987055016,"GO:0034660","microglia","ncRNA metabolic process",27205,9175,"ISS ISO IBA IEA,IDA ISO IBA IEA,ISO IEA,ISO,IDA IBA IEA,ISS ISO IEA,ISO IBA IEA,ISS IBA IEA,ISO IBA IEA,IEA,IEA,ISS ISO IEA,IBA","Elp3,Eprs,Myb,Myc,Nsun5,Nsun6,Riok2,Sars2,Tsen2,Utp14b,Utp25,Zc3h10,Znhit6"
"27","query_1",TRUE,0.00374910510995954,357,106,10,0.0943396226415094,0.0280112044817927,"GO:0032259","microglia","methylation",27205,7865,"IMP ISO IEA,IEA,IMP ISO IBA IEA,ISO,ISO,IDA IBA IEA,ISS ISO IBA IEA,ISO IEA,IEA,IBA","Brca1,Dph5,Kmt2a,Myb,Myc,Nsun5,Nsun6,Paf1,Parp1,Setbp1"
"28","query_1",TRUE,0.00490003381684568,23,106,4,0.0377358490566038,0.173913043478261,"GO:0044030","microglia","regulation of DNA methylation",27205,11513,"IMP,ISO IEA,ISO,IEA","Brca1,Kmt2a,Myc,Parp1"
"29","query_1",TRUE,0.0107484831261873,314,106,9,0.0849056603773585,0.0286624203821656,"GO:0043414","microglia","macromolecule methylation",27205,11271,"IMP ISO IEA,IMP ISO IBA IEA,ISO,ISO,IDA IBA IEA,ISS ISO IBA IEA,ISO IEA,IEA,IBA","Brca1,Kmt2a,Myb,Myc,Nsun5,Nsun6,Paf1,Parp1,Setbp1"
"30","query_1",TRUE,0.0169989634475372,31,106,4,0.0377358490566038,0.129032258064516,"GO:0061647","microglia","histone H3-K9 modification",27205,16513,"IMP ISO IEA,IDA,ISO,IDA","Brca1,Chek1,Myb,Nap1l2"
"31","query_1",TRUE,0.0175132783864861,67,106,5,0.0471698113207547,0.0746268656716418,"GO:0060261","microglia","positive regulation of transcription initiation by RNA polymerase II",27205,15311,"ISS ISO NAS IEA,NAS,IDA,ISS ISO IEA,IEA","Med1,Med29,Myc,Taf13,Taf5"
"32","query_1",TRUE,0.0249547186779991,11,106,3,0.0283018867924528,0.272727272727273,"GO:2000615","microglia","regulation of histone H3-K9 acetylation",27205,27177,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"33","query_1",TRUE,0.0285872966163713,74,106,5,0.0471698113207547,0.0675675675675676,"GO:2000144","microglia","positive regulation of DNA-templated transcription initiation",27205,26746,"ISS ISO NAS IEA,NAS,IDA,ISS ISO IEA,IEA","Med1,Med29,Myc,Taf13,Taf5"
"34","query_1",TRUE,0.0325844815815182,76,106,5,0.0471698113207547,0.0657894736842105,"GO:0060260","microglia","regulation of transcription initiation by RNA polymerase II",27205,15310,"ISS ISO NAS IEA,NAS,IDA,ISS ISO IEA,IEA","Med1,Med29,Myc,Taf13,Taf5"
"35","query_1",TRUE,0.0331785892355374,12,106,3,0.0283018867924528,0.25,"GO:0043970","microglia","histone H3-K9 acetylation",27205,11492,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
